year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2015,Winter,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,No System,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2015,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",25000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,26 - Sauna,8000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Spring,50 - Basement/cellar (not partitioned),15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2015,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2015,Summer,69 - Attic Area,20000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2016,Winter,24 - Cooking Area or Kitchen,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2017,Winter,47 - Shipping/Receiving/Loading Platform,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,"75 - Trash, rubbish area (outside)",1,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,64 - Porch or Balcony,25000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",No System,Presents and Operated,No System,"5 - Flames showing from large area (more than one storey, large area outdoors)","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,24 - Cooking Area or Kitchen,100,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2016,Summer,24 - Cooking Area or Kitchen,2000,2,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2015,Winter,"73 - Parking Area, Parking Lot",30000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,System Presents,No System,System Presents,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",NA
2015,Winter,55 - Mechanical/Electrical Services Room,500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2017,Spring,"84 - Fuel Systems (eg. fuel tank, etc.)",500,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,"31 - Process Manufacturing (inc manf, prod assembly, repair)",200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,50 - Basement/cellar (not partitioned),30000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2016,Winter,53 - Chimney/Flue Pipe,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2017,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Spring,64 - Porch or Balcony,20000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,No System,Presents and Operated,No System,"5 - Flames showing from large area (more than one storey, large area outdoors)",7 - Not applicable: Occupant(s) first alerted by other means
2014,Spring,29 - Electronic Equipment,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,53 - Chimney/Flue Pipe,7000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",25000,0,3 - Spread to entire room of origin,3 - Spread to entire room of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,53 - Chimney/Flue Pipe,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2011,Spring,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2011,Spring,62 - Roof,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,NA
2011,Spring,24 - Cooking Area or Kitchen,15000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2011,Spring,24 - Cooking Area or Kitchen,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2013,Winter,"73 - Parking Area, Parking Lot",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2011,Spring,24 - Cooking Area or Kitchen,250,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,1 - Fire extinguished prior to arrival,NA
2011,Spring,42 - Garage,7500,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,49 - Other Storage Area,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,27 - Laundry Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2016,Autumn,42 - Garage,40000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2016,Autumn,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2016,Summer,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,9 - Unclassified,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2016,Summer,24 - Cooking Area or Kitchen,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2016,Spring,"12 - Hallway, Corridor",30000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2016,Spring,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,Presents and Activated,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Spring,79 - Other Outside Area,10,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,24 - Cooking Area or Kitchen,8000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2011,Spring,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,"75 - Trash, rubbish area (outside)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2011,Spring,24 - Cooking Area or Kitchen,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,78 - Attached Deck,1500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,42 - Garage,750,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2016,Winter,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2016,Winter,53 - Chimney/Flue Pipe,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Winter,55 - Mechanical/Electrical Services Room,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,1 - Fire extinguished prior to arrival,NA
2014,Spring,79 - Other Outside Area,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,53 - Chimney/Flue Pipe,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,9 - Unclassified,"8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,"11 - Lobby, Entranceway",50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,43 - Locker (apartment storage),200,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,Presents and Activated,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2015,Summer,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,50 - Basement/cellar (not partitioned),45000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,29 - Electronic Equipment,25000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2017,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2014,Spring,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,50 - Basement/cellar (not partitioned),15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,24 - Cooking Area or Kitchen,10000,2,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,50 - Basement/cellar (not partitioned),1000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2016,Spring,64 - Porch or Balcony,4000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2016,Summer,"59 - Utility Shaft (eg. electrical wiring/phone, etc.)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2016,Summer,"72 - Court, Patio, Terrace",8000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,"25 - Washroom or Bathroom (toilet,restroom/locker room)",20000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",System Presents,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2015,Winter,"25 - Washroom or Bathroom (toilet,restroom/locker room)",10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,Presents and Activated,1 - Fire extinguished prior to arrival,NA
2011,Spring,24 - Cooking Area or Kitchen,8000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2012,Autumn,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2015,Autumn,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,NA
2012,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2015,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2013,Spring,24 - Cooking Area or Kitchen,6000,1,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,"21 - Living Area (e.g. living, TV, recreation, etc)",1,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Winter,62 - Roof,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,"75 - Trash, rubbish area (outside)",5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"5 - Flames showing from large area (more than one storey, large area outdoors)","8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,64 - Porch or Balcony,10,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2011,Spring,24 - Cooking Area or Kitchen,1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2011,Spring,42 - Garage,100,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,81 - Engine Area,6000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",7000,0,8 - Entire Structure,8 - Entire Structure,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2011,Spring,24 - Cooking Area or Kitchen,8000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,81 - Engine Area,0,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2011,Spring,66 - Concealed Ceiling Area,500,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,No System,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2012,Autumn,"21 - Living Area (e.g. living, TV, recreation, etc)",100,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2012,Autumn,81 - Engine Area,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2016,Spring,64 - Porch or Balcony,200,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,NA
2017,Spring,42 - Garage,30000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2013,Spring,64 - Porch or Balcony,500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Spring,24 - Cooking Area or Kitchen,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2016,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,Presents and Activated,2 - Fire with no evidence from street,NA
2013,Spring,51 - Elevator (includes shaft),0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,2 - Fire with no evidence from street,NA
2014,Spring,64 - Porch or Balcony,200,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2013,Spring,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,81 - Engine Area,6000,0,NA,NA,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Spring,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2011,Summer,"75 - Trash, rubbish area (outside)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2011,Summer,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2011,Summer,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Summer,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2011,Summer,24 - Cooking Area or Kitchen,10000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2011,Summer,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2011,Summer,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2011,Summer,64 - Porch or Balcony,50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2011,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2011,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2011,Summer,"75 - Trash, rubbish area (outside)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2016,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2016,Summer,64 - Porch or Balcony,15000,0,9 - Confined to roof/exterior structure,9 - Confined to roof/exterior structure,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2014,Spring,78 - Attached Deck,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2013,Spring,42 - Garage,100,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
